Y,Цена на экспорт лома. Ростов-на-Дону. CPT. руб/т,Ключевая ставка. пп,Запасы лома на складах металлургических предприятий. тыс т,Объем экспорта лома. тыс т,Цена на кв заготовку на мир рынке. руб/т с НДС ,Цена на арматуру. 10-32 мм. А500С. CPT. руб/т с НДС ,Поставки лома по базе РЖД. тыс т,Курс доллара,Цена на передельный чугун. EXW руб/т с НДС,Поставки лома по экспертн Оц. тыс т,Потребность в ломе. тыс т,Цена на лом в Турции HMS 1/2 80:20. CFR Турция. $/т,Инфляция цепная. %,Поставки лома по Металл-Эксперту тыст,Цена на кв заготовку на мир рынке. долл/т с НДС 
9672.50,9737.29,7.05,1468.00,520.47,17833.86,23223.67,1488.80,35.67,15955.00,1620.00,1638.00,379.75,0.90,1733.58,500.00
9827.00,9718.59,7.50,1339.00,590.50,17277.49,24319.67,1638.70,34.83,16520.00,2009.00,2223.00,373.40,0.90,1951.24,496.00
10064.25,9680.32,7.50,1207.00,533.78,17018.07,25384.67,1698.30,34.45,17184.00,2191.00,2449.00,369.25,0.62,2055.44,494.00
10484.50,9628.64,7.56,1254.00,458.40,17109.89,26353.33,1796.90,34.64,17405.00,2351.00,2651.00,372.40,0.49,2156.61,494.00
11067.50,10071.46,8.00,1546.00,372.73,18410.20,26415.67,1774.46,36.10,17110.00,2319.00,2535.00,383.00,0.24,2106.65,510.00
11692.50,10726.20,8.00,1823.00,573.60,18950.89,26415.67,1736.98,37.90,17110.00,2268.00,2489.00,372.00,0.65,2073.73,500.00
11562.50,10608.79,8.00,2424.00,514.35,19175.38,25481.00,1766.20,40.80,16875.00,2242.00,2354.00,329.00,0.82,2111.23,470.00
11283.00,10491.37,9.30,2904.00,401.77,19596.21,25481.00,1495.76,46.22,15578.00,1991.00,2047.00,303.00,1.28,1862.58,424.00
11265.50,10540.61,13.50,3188.00,502.58,22363.94,24392.00,1388.40,55.77,15103.00,1776.00,1818.00,305.00,2.62,1711.33,401.00
12088.75,11105.00,17.00,3036.00,307.21,25474.86,27764.00,698.35,65.15,16200.00,858.80,1043.80,305.00,3.85,895.93,391.00
13053.25,11871.34,15.07,2141.00,402.69,23097.51,29599.33,1054.13,64.52,20650.00,1211.50,1272.50,235.00,2.22,1324.92,358.00
12684.50,11046.45,14.48,1485.00,416.95,21489.26,27276.00,1369.76,60.36,20650.00,1638.00,1672.00,255.00,1.21,1682.43,356.00
11596.00,10217.99,14.00,1225.00,574.45,19318.39,24993.00,1589.84,53.22,19130.00,1909.50,1898.50,264.00,0.46,1928.51,363.00
10579.50,10055.46,12.69,1439.00,536.47,18975.02,23912.67,1387.96,50.47,16822.00,1916.00,1909.00,282.00,0.35,1798.80,374.00
10560.25,10459.25,12.00,1594.00,606.80,19547.21,24462.67,1437.03,54.45,17285.00,1891.00,1566.00,280.00,0.19,1770.22,359.00
10916.25,10406.70,11.50,1764.00,561.08,18697.75,25278.67,1506.64,57.18,17285.00,2036.00,2040.00,234.00,0.80,1838.37,327.00
11075.33,10336.83,11.03,1954.00,365.77,20804.51,24039.00,1445.65,65.42,17285.00,2021.00,2105.00,232.00,0.35,1909.44,318.00
11200.00,10484.91,11.00,2097.00,608.80,19367.04,25117.67,1509.31,66.78,19450.00,2009.00,2146.00,205.00,0.57,1948.65,290.00
10804.75,9500.00,11.00,2429.00,455.38,16949.82,25117.67,1546.16,63.25,16815.00,2025.00,2033.00,175.00,0.74,1940.77,268.00
9853.25,8939.85,11.00,2768.00,299.84,17491.02,22205.33,1235.80,65.03,16225.00,1789.00,1762.00,194.00,0.75,1588.96,270.00
9317.50,8916.48,11.00,3326.00,539.28,17832.96,21000.33,924.96,69.70,16225.00,1260.00,1388.00,189.00,0.77,1127.65,256.00
